End Date,USD/CAD
2014/1/24,1.10928
2014/1/23,1.11279
2014/1/22,1.09928
2014/1/21,1.09711
2014/1/20,1.09529
2014/1/19,1.09564
2014/1/18,1.09568
2014/1/17,1.09459
2014/1/16,1.09336
2014/1/15,1.09576
2014/1/14,1.08998
2014/1/13,1.08934
2014/1/12,1.08875
2014/1/11,1.08879
2014/1/10,1.0867
2014/1/9,1.08411
2014/1/8,1.07981
2014/1/7,1.06965
2014/1/6,1.06361
2014/1/5,1.06297
2014/1/4,1.06299
2014/1/3,1.06404
2014/1/2,1.06366
2014/1/1,1.06267
2013/12/31,1.06392
2013/12/30,1.06943
2013/12/29,1.07017
2013/12/28,1.07019
2013/12/27,1.06561
2013/12/26,1.06349
2013/12/25,1.06142
2013/12/24,1.06186
2013/12/23,1.0623
2013/12/22,1.06319
2013/12/21,1.06321
2013/12/20,1.06722
2013/12/19,1.07033
2013/12/18,1.06242
2013/12/17,1.05904
2013/12/16,1.05841
2013/12/15,1.05815
2013/12/14,1.05816
2013/12/13,1.06338
2013/12/12,1.06004
2013/12/11,1.06017
2013/12/10,1.0628
2013/12/9,1.06498
2013/12/8,1.06341
2013/12/7,1.06346
2013/12/6,1.06541
2013/12/5,1.06663
2013/12/4,1.06609
2013/12/3,1.06475
2013/12/2,1.06278
2013/12/1,1.06097
2013/11/30,1.06099
2013/11/29,1.05921
2013/11/28,1.05852
2013/11/27,1.05612
2013/11/26,1.05386
2013/11/25,1.05509
2013/11/24,1.05132
2013/11/23,1.05134
2013/11/22,1.05359
2013/11/21,1.04764
2013/11/20,1.04586
2013/11/19,1.04422
2013/11/18,1.04287
2013/11/17,1.04332
2013/11/16,1.04335
2013/11/15,1.04642
2013/11/14,1.04768
2013/11/13,1.04833
2013/11/12,1.04851
2013/11/11,1.04753
2013/11/10,1.04749
2013/11/9,1.0475
2013/11/8,1.04653
2013/11/7,1.04256
2013/11/6,1.04398
2013/11/5,1.04375
2013/11/4,1.04142
2013/11/3,1.04185
2013/11/2,1.04185
2013/11/1,1.043
2013/10/31,1.0458
2013/10/30,1.04624
2013/10/29,1.04455
2013/10/28,1.04418
2013/10/27,1.04427
2013/10/26,1.04427
2013/10/25,1.04339
2013/10/24,1.03965
2013/10/23,1.03288
2013/10/22,1.02957
2013/10/21,1.02948
2013/10/20,1.02813
2013/10/19,1.02813
2013/10/18,1.02915
2013/10/17,1.03072
2013/10/16,1.03631
2013/10/15,1.03551
2013/10/14,1.03545
2013/10/13,1.03451
2013/10/12,1.03451
2013/10/11,1.03886
2013/10/10,1.03952
2013/10/9,1.03772
2013/10/8,1.03283
2013/10/7,1.03095
2013/10/6,1.02936
2013/10/5,1.02936
2013/10/4,1.03213
2013/10/3,1.03262
2013/10/2,1.03383
2013/10/1,1.03161
2013/9/30,1.03026
2013/9/29,1.02991
2013/9/28,1.02991
2013/9/27,1.03126
2013/9/26,1.03152
2013/9/25,1.03052
2013/9/24,1.02893
2013/9/23,1.0292
2013/9/22,1.03023
2013/9/21,1.03023
2013/9/20,1.0281
2013/9/19,1.02226
2013/9/18,1.02909
2013/9/17,1.03133
2013/9/16,1.03052
2013/9/15,1.03476
2013/9/14,1.03476
2013/9/13,1.03338
2013/9/12,1.03189
2013/9/11,1.03412
2013/9/10,1.03597
2013/9/9,1.03871
2013/9/8,1.03993
2013/9/7,1.03993
2013/9/6,1.04501
2013/9/5,1.04935
2013/9/4,1.05138
2013/9/3,1.054
2013/9/2,1.05335
2013/9/1,1.05309
2013/8/31,1.05309
2013/8/30,1.05322
2013/8/29,1.05019
2013/8/28,1.04884
2013/8/27,1.05103
2013/8/26,1.05088
2013/8/25,1.0492
2013/8/24,1.0492
2013/8/23,1.05317
2013/8/22,1.04974
2013/8/21,1.04286
2013/8/20,1.03695
2013/8/19,1.03318
2013/8/18,1.03317
2013/8/17,1.03317
2013/8/16,1.03206
2013/8/15,1.03231
2013/8/14,1.03419
2013/8/13,1.03221
2013/8/12,1.02968
2013/8/11,1.02837
2013/8/10,1.02837
2013/8/9,1.03113
2013/8/8,1.03922
2013/8/7,1.04026
2013/8/6,1.03656
2013/8/5,1.03867
2013/8/4,1.03843
2013/8/3,1.03843
2013/8/2,1.03679
2013/8/1,1.03027
2013/7/31,1.02963
2013/7/30,1.02786
2013/7/29,1.0269
2013/7/28,1.02728
2013/7/27,1.02728
2013/7/26,1.0278
2013/7/25,1.02969
2013/7/24,1.02967
2013/7/23,1.03185
2013/7/22,1.03489
2013/7/21,1.03629
2013/7/20,1.03629
2013/7/19,1.03724
2013/7/18,1.04084
2013/7/17,1.03938
2013/7/16,1.0415
2013/7/15,1.04032
2013/7/14,1.03943
2013/7/13,1.03943
2013/7/12,1.0377
2013/7/11,1.0393
2013/7/10,1.05165
2013/7/9,1.05458
2013/7/8,1.05681
2013/7/7,1.05732
2013/7/6,1.05732
2013/7/5,1.0546
2013/7/4,1.05122
2013/7/3,1.05361
2013/7/2,1.05231
